Rxn_name	Comp_correction	Species	Ratelaw						
vTL16	Nucleus	  ; Pei	kTL16*m_CDC25A	1.141860E+01					
vTL17	Nucleus	  ; Pai	kTL17*m_CDC25B	9.222700E+00					
vTL18	Nucleus	  ; Pbi	kTL18*m_CDC25C	1.054020E+01					
vTL19	Nucleus	  ; Ca	kTL19_1*E2F*(kTL19_2/(kTL19_2+pRB))*(kTL19_3/(kTL19_3+pRBp))*m_CCNA2	3.294000E-02	1.000000E+01	2.000000E+02			
vTL20	Nucleus	  ; p27	(kTL20_1+(kTL20_2*E2F*(kTL20_3/(kTL20_3+pRB))*(kTL20_4/(kTL20_4+pRBp))))*m_CDKN1B	7.026830E+01	8.780000E-02	1.000000E+01	2.000000E+02		
vTL21	Nucleus	  ; Cdh1a	kTL21*m_CDH1	9.661900E+00					
vTL22	Nucleus	  ; Cb	kTL22*m_CCNB1	4.391800E+00					
vTL23	Nucleus	  ; Cdc20i	kTL23*m_CDC20	8.783500E+00					
vTL24	Nucleus	  ; Wee1	kTL24*m_WEE1	5.270100E+00					
vTL25	Cytoplasm	  ; Chk1	kTL25*m_CHEK1	8.744000E-03					
vTL26	Cytoplasm	  ; p21	kTL26*m_CDKN1A	5.312000E-01					
vTL27	Cytoplasm	  ;	kTL27*m_CDK1	2.635000E-01					
vTL28	Cytoplasm	  ;	kTL28*m_CDK2	1.792000E-01					
vTL29	Cytoplasm	  ;	kTL29*m_CDK4	8.229500E-03					
vTL30	Cytoplasm	  ;	kTL30*m_CDK6	2.962150E-01					
vTL31	Cytoplasm	  ; L	kTL31_1*m_TNFSF10*(EIF4E/(kTL31_2+EIF4E))	0.000000E+00	1.000000E+02				
vTL32	Cytoplasm	  ; R	kTL32_1*m_TNFRSF10A*(EIF4E/(kTL32_2+EIF4E))	6.701184E-03	1.000000E+02				
vTL33	Cytoplasm	  ; R	kTL33_1*m_TNFRSF10B*(EIF4E/(kTL33_2+EIF4E))	6.964813E-03	1.000000E+02				
vTL34	Cytoplasm	  ; flip	kTL34_1*m_CFLAR*(EIF4E/(kTL34_2+EIF4E))	4.560789E-02	1.000000E+02				
vTL35	Cytoplasm	  ; pC8	kTL35_1*m_CASP8*(EIF4E/(kTL35_2+EIF4E))	3.179686E-02	1.000000E+02				
vTL36	Cytoplasm	  ; pC8	kTL36_1*m_CASP10*(EIF4E/(kTL36_2+EIF4E))	5.187646E-03	1.000000E+02				
vTL37	Cytoplasm	  ; Bar	kTL37_1*m_BFAR*(EIF4E/(kTL37_2+EIF4E))	3.010974E-03	1.000000E+02				
vTL38	Cytoplasm	  ; pC3	kTL38_1*m_CASP3*(EIF4E/(kTL38_2+EIF4E))	2.586757E-02	1.000000E+02				
vTL39	Cytoplasm	  ; pC3	kTL39_1*m_CASP7*(EIF4E/(kTL39_2+EIF4E))	2.314422E-02	1.000000E+02				
vTL40	Cytoplasm	  ; pC6	kTL40_1*m_CASP6*(EIF4E/(kTL40_2+EIF4E))	4.237084E-03	1.000000E+02				
vTL41	Cytoplasm	  ; XIAP	kTL41_1*m_XIAP*(EIF4E/(kTL41_2+EIF4E))	1.414059E-01	1.000000E+02				
vTL42	Cytoplasm	  ; PARP	kTL42_1*m_PARP1*(EIF4E/(kTL42_2+EIF4E))	3.444330E-01	1.000000E+02				
vTL43	Cytoplasm	  ; Bid	kTL43_1*m_BID*(EIF4E/(kTL43_2+EIF4E))	4.293526E-02	1.000000E+02				
vTL44	Cytoplasm	  ; Bcl2c	kTL44_1*m_BCL2*(EIF4E/(kTL44_2+EIF4E))	2.891033E-02	1.000000E+02				
vTL45	Cytoplasm	  ; Bcl2c	kTL45_1*m_BCL2L1*(EIF4E/(kTL45_2+EIF4E))	1.031949E-01	1.000000E+02				
vTL46	Cytoplasm	  ; Bcl2c	kTL46_1*m_MCL1*(EIF4E/(kTL46_2+EIF4E))	4.901751E-01	1.000000E+02				
vTL47	Cytoplasm	  ; Bax	kTL47_1*m_BAX*(EIF4E/(kTL47_2+EIF4E))	3.275386E-01	1.000000E+02				
vTL48	Cytoplasm	  ; CytoCm	kTL48_1*m_CYCS*(EIF4E/(kTL48_2+EIF4E))	7.033183E-02	1.000000E+02				
vTL49	Cytoplasm	  ; Smacm	kTL49_1*m_DIABLO*(EIF4E/(kTL49_2+EIF4E))	1.085227E-01	1.000000E+02				
vTL50	Cytoplasm	  ; Apaf	kTL50_1*m_APAF1*(EIF4E/(kTL50_2+EIF4E))	8.024529E-03	1.000000E+02				
vTL51	Cytoplasm	  ; pC9	kTL51_1*m_CASP9*(EIF4E/(kTL51_2+EIF4E))	2.476986E-02	1.000000E+02				
vTL52	Cytoplasm	  ; BAD	kTL52_1*m_BAD*(EIF4E/(kTL52_2+EIF4E))	1.701828E-01	1.000000E+02				
vTL53	Cytoplasm	  ; PUMA	kTL53_1*m_BBC3*(EIF4E/(kTL53_2+EIF4E))	5.658597E-01	1.000000E+02				
vTL54	Cytoplasm	  ; NOXA	kTL54_1*m_PMAIP1*(EIF4E/(kTL54_2+EIF4E))	2.889506E-02	1.000000E+02				
vTL55	Cytoplasm	  ; BIM	kTL55_1*m_BCL2L11*(EIF4E/(kTL55_2+EIF4E))	4.967611E-01	1.000000E+02				
vTL56	Cytoplasm	  ; E	kTL56_1*m_EGF*(EIF4E/(kTL56_2+EIF4E))	7.122388E-02	1.000000E+02				
vTL57	Cytoplasm	  ; H	kTL57_1*m_NRG1*(EIF4E/(kTL57_2+EIF4E))	7.122388E-02	1.000000E+02				
vTL58	Cytoplasm	  ; E1	kTL58_1*m_EGFR*(EIF4E/(kTL58_2+EIF4E))	5.191829E-01	1.000000E+02				
vTL59	Cytoplasm	  ; E2	kTL59_1*m_ERBB2*(EIF4E/(kTL59_2+EIF4E))	5.307133E-02	1.000000E+02				
vTL60	Cytoplasm	  ; E3	kTL60_1*m_ERBB3*(EIF4E/(kTL60_2+EIF4E))	6.055101E-03	1.000000E+02				
vTL61	Cytoplasm	  ; E4	kTL61_1*m_ERBB4*(EIF4E/(kTL61_2+EIF4E))	1.763978E-02	1.000000E+02				
vTL62	Cytoplasm	  ; Ev3	kTL62_1*m_EGFRvIII*(EIF4E/(kTL62_2+EIF4E))	3.319824E-02	1.000000E+02				
vTL63	Cytoplasm	  ; Met	kTL63_1*m_MET*(EIF4E/(kTL63_2+EIF4E))	1.428499E-02	1.000000E+02				
vTL64	Cytoplasm	  ; HGF	kTL64_1*m_HGF*(EIF4E/(kTL64_2+EIF4E))	7.122388E-02	1.000000E+02				
vTL65	Cytoplasm	  ; Pr	kTL65_1*m_PDGFRA*(EIF4E/(kTL65_2+EIF4E))	3.319589E-02	1.000000E+02				
vTL66	Cytoplasm	  ; Pr	kTL66_1*m_PDGFRB*(EIF4E/(kTL66_2+EIF4E))	3.319589E-02	1.000000E+02				
vTL67	Cytoplasm	  ; P	kTL67_1*m_PDGFB*(EIF4E/(kTL67_2+EIF4E))	7.122388E-02	1.000000E+02				
vTL68	Cytoplasm	  ; Sp	kTL68_1*m_SPRY2*(EIF4E/(kTL68_2+EIF4E))	3.920992E-03	1.000000E+02				
vTL69	Cytoplasm	  ; Cbl	kTL69_1*m_CBL*(EIF4E/(kTL69_2+EIF4E))	5.176996E-02	1.000000E+02				
vTL70	Cytoplasm	  ; G2	kTL70_1*m_GRB2*(EIF4E/(kTL70_2+EIF4E))	6.184815E-01	1.000000E+02				
vTL71	Cytoplasm	  ; PLCg	kTL71_1*m_PLCG1*(EIF4E/(kTL71_2+EIF4E))	3.020566E-02	1.000000E+02				
vTL72	Cytoplasm	  ; PLCg	kTL72_1*m_PLCG2*(EIF4E/(kTL72_2+EIF4E))	3.179077E-02	1.000000E+02				
vTL73	Cytoplasm	  ; PI3KC1	kTL73_1*m_PIK3CA*(EIF4E/(kTL73_2+EIF4E))	1.463618E-02	1.000000E+02				
vTL74	Cytoplasm	  ; PI3KC1	kTL74_1*m_PIK3CB*(EIF4E/(kTL74_2+EIF4E))	1.108511E-02	1.000000E+02				
vTL75	Cytoplasm	  ; PI3KC1	kTL75_1*m_PIK3CG*(EIF4E/(kTL75_2+EIF4E))	2.549623E-03	1.000000E+02				
vTL76	Cytoplasm	  ; PI3KC1	kTL76_1*m_PIK3CD*(EIF4E/(kTL76_2+EIF4E))	2.549623E-03	1.000000E+02				
vTL77	Cytoplasm	  ; PI3KR1	kTL77_1*m_PIK3R1*(EIF4E/(kTL77_2+EIF4E))	9.745450E-02	1.000000E+02				
vTL78	Cytoplasm	  ; PI3KR1	kTL78_1*m_PIK3R2*(EIF4E/(kTL78_2+EIF4E))	5.441190E-03	1.000000E+02				
vTL79	Cytoplasm	  ; PI3KR1	kTL79_1*m_PIK3R3*(EIF4E/(kTL79_2+EIF4E))	4.918333E-05	1.000000E+02				
vTL80	Cytoplasm	  ; PI3KR1	kTL80_1*m_PIK3R4*(EIF4E/(kTL80_2+EIF4E))	2.728923E-02	1.000000E+02				
vTL81	Cytoplasm	  ; PI3K2	kTL81_1*m_PIK3C2A*(EIF4E/(kTL81_2+EIF4E))	1.395976E-02	1.000000E+02				
vTL82	Cytoplasm	  ; GRP	kTL82_1*m_RASGRP1*(EIF4E/(kTL82_2+EIF4E))	2.953445E-01	1.000000E+02				
vTL83	Cytoplasm	  ; GRP	kTL83_1*m_RASGRP3*(EIF4E/(kTL83_2+EIF4E))	2.953445E-01	1.000000E+02				
vTL84	Cytoplasm	  ; RasD	kTL84_1*m_NRAS*(EIF4E/(kTL84_2+EIF4E))	3.608434E-02	1.000000E+02				
vTL85	Cytoplasm	  ; RasD	kTL85_1*m_KRAS*(EIF4E/(kTL85_2+EIF4E))	2.077922E-01	1.000000E+02				
vTL86	Cytoplasm	  ; RasD	kTL86_1*m_HRAS*(EIF4E/(kTL86_2+EIF4E))	1.012784E+00	1.000000E+02				
vTL87	Cytoplasm	  ; NF1	kTL87_1*m_NF1*(EIF4E/(kTL87_2+EIF4E))	2.217992E-03	1.000000E+02				
vTL88	Cytoplasm	  ; CRaf	kTL88_1*m_RAF1*(EIF4E/(kTL88_2+EIF4E))	6.589921E-02	1.000000E+02				
vTL89	Cytoplasm	  ; BRaf	kTL89_1*m_BRAF*(EIF4E/(kTL89_2+EIF4E))	3.871855E-02	1.000000E+02				
vTL90	Cytoplasm	  ; MEK	kTL90_1*m_MAP2K1*(EIF4E/(kTL90_2+EIF4E))	2.384683E-01	1.000000E+02				
vTL91	Cytoplasm	  ; MEK	kTL91_1*m_MAP2K2*(EIF4E/(kTL91_2+EIF4E))	4.076120E-01	1.000000E+02				
vTL92	Cytoplasm	  ; MKP3	kTL92_1*m_DUSP6*(EIF4E/(kTL92_2+EIF4E))	8.111827E-04	1.000000E+02				
vTL93	Cytoplasm	  ; RSK	kTL93_1*m_RPS6KA1*(EIF4E/(kTL93_2+EIF4E))	1.455156E-01	1.000000E+02				
vTL94	Cytoplasm	  ; RSK	kTL94_1*m_RPS6KA2*(EIF4E/(kTL94_2+EIF4E))	7.642617E-03	1.000000E+02				
vTL95	Cytoplasm	  ; RSK	kTL95_1*m_RPS6KA3*(EIF4E/(kTL95_2+EIF4E))	2.037869E-02	1.000000E+02				
vTL96	Cytoplasm	  ; RSK	kTL96_1*m_RPS6KA4*(EIF4E/(kTL96_2+EIF4E))	1.264408E-01	1.000000E+02				
vTL97	Cytoplasm	  ; MKP1	kTL97_1*m_DUSP1*(EIF4E/(kTL97_2+EIF4E))	6.845126E-04	1.000000E+02				
vTL98	Cytoplasm	  ; cFos	kTL98_1*m_FOS*(EIF4E/(kTL98_2+EIF4E))	3.941679E-01	1.000000E+02				
vTL99	Cytoplasm	  ; cJun	kTL99_1*m_JUN*(EIF4E/(kTL99_2+EIF4E))	1.648827E-01	1.000000E+02				
vTL100	Cytoplasm	  ; cMyc	kTL100_1*m_MYC*(EIF4E/(kTL100_2+EIF4E))	3.940506E+01	1.000000E+02				
vTL101	Cytoplasm	  ; bCATENIN	kTL101_1*m_CTNNB1*(EIF4E/(kTL101_2+EIF4E))	5.205330E+00	1.000000E+02				
vTL102	Cytoplasm	  ; PTEN	kTL102_1*m_PTEN*(EIF4E/(kTL102_2+EIF4E))	6.577276E-04	1.000000E+02				
vTL103	Cytoplasm	  ; AKT	kTL103_1*m_AKT1*(EIF4E/(kTL103_2+EIF4E))	7.378095E-01	1.000000E+02				
vTL104	Cytoplasm	  ; AKT	kTL104_1*m_AKT2*(EIF4E/(kTL104_2+EIF4E))	1.809170E-01	1.000000E+02				
vTL105	Cytoplasm	  ; PDK1	kTL105_1*m_PDPK1*(EIF4E/(kTL105_2+EIF4E))	1.229970E-01	1.000000E+02				
vTL106	Cytoplasm	  ; Rictor	kTL106_1*m_RICTOR*(EIF4E/(kTL106_2+EIF4E))	1.636325E-02	1.000000E+02				
vTL107	Cytoplasm	  ; mTOR	kTL107_1*m_MTOR*(EIF4E/(kTL107_2+EIF4E))	4.239369E-01	1.000000E+02				
vTL108	Cytoplasm	  ; GSK3b	kTL108_1*m_GSK3B*(EIF4E/(kTL108_2+EIF4E))	3.710793E-01	1.000000E+02				
vTL109	Cytoplasm	  ; TSC1	kTL109_1*m_TSC1*(EIF4E/(kTL109_2+EIF4E))	1.418598E-03	1.000000E+02				
vTL110	Cytoplasm	  ; TSC2	kTL100_1*m_TSC2*(EIF4E/(kTL100_2+EIF4E))	1.530346E-02	1.000000E+02				
vTL111	Cytoplasm	  ; PKC	kTL111_1*m_PRKCA*(EIF4E/(kTL111_2+EIF4E))	7.713443E-03	1.000000E+02				
vTL112	Cytoplasm	  ; PKC	kTL112_1*m_PRKCB*(EIF4E/(kTL112_2+EIF4E))	6.884487E-03	1.000000E+02				
vTL113	Cytoplasm	  ; PKC	kTL113_1*m_PRKCG*(EIF4E/(kTL113_2+EIF4E))	6.884487E-03	1.000000E+02				
vTL114	Cytoplasm	  ; PKC	kTL114_1*m_PRKCD*(EIF4E/(kTL114_2+EIF4E))	8.877329E-02	1.000000E+02				
vTL115	Cytoplasm	  ; RKIP	kTL115_1*m_PEBP1*(EIF4E/(kTL115_2+EIF4E))	7.496690E-02	1.000000E+02				
vTL116	Cytoplasm	  ; ERK	kTL116_1*m_MAPK1*(EIF4E/(kTL116_2+EIF4E))	6.472173E-01	1.000000E+02				
vTL117	Cytoplasm	  ; ERK	kTL117_1*m_MAPK3*(EIF4E/(kTL117_2+EIF4E))	8.771170E-02	1.000000E+02				
vTL118	Cytoplasm	  ; FOXO	kTL118_1*m_FOXO3*(EIF4E/(kTL118_2+EIF4E))	3.933951E-02	1.000000E+02				
vTL119	Cytoplasm	  ; RhebD	kTL119_1*m_RHEB*(EIF4E/(kTL119_2+EIF4E))	1.285295E-01	1.000000E+02				
vTL120	Cytoplasm	  ; Raptor	kTL120_1*m_RPTOR*(EIF4E/(kTL120_2+EIF4E))	3.704438E-01	1.000000E+02				
vTL121	Cytoplasm	  ; S6K	kTL121_1*m_RPS6KB1*(EIF4E/(kTL121_2+EIF4E))	1.502261E-01	1.000000E+02				
vTL122	Cytoplasm	  ; S6K	kTL122_1*m_RPS6KB2*(EIF4E/(kTL122_2+EIF4E))	5.573060E-02	1.000000E+02				
vTL123	Cytoplasm	  ; EIF4EBP1	kTL123_1*m_EIF4EBP1*(EIF4E/(kTL123_2+EIF4E))	6.125023E-02	1.000000E+02				
vTL124	Cytoplasm	  ; SOS	kTL124_1*m_SOS1*(EIF4E/(kTL124_2+EIF4E))	9.427201E-03	1.000000E+02				
vTL125	Cytoplasm	  ; ARF	kTL125_1*m_CDKN2A*(EIF4E/(kTL125_2+EIF4E))	1.236526E-02	1.000000E+02				
vTL126	Cytoplasm	  ; MDM4	kTL126_1*m_MDM4*(EIF4E/(kTL126_2+EIF4E))	1.518757E-03	1.000000E+02				
vTL127	Cytoplasm	  ; Fr	kTL127_1*m_FGFR1*(EIF4E/(kTL127_2+EIF4E))	1.835863E-03	1.000000E+02				
vTL128	Cytoplasm	  ; Fr	kTL128_1*m_FGFR2*(EIF4E/(kTL128_2+EIF4E))	1.835863E-03	1.000000E+02				
vTL129	Cytoplasm	  ; F	kTL129_1*m_FGF1*(EIF4E/(kTL129_2+EIF4E))	7.122388E-02	1.000000E+02				
vTL130	Cytoplasm	  ; F	kTL130_1*m_FGF2*(EIF4E/(kTL130_2+EIF4E))	7.122388E-02	1.000000E+02				
vTL131	Cytoplasm	  ; EIF4E	kTL131_1*m_EIF4E*(EIF4E/(kTL131_2+EIF4E))	1.190007E-01	1.000000E+02				
vTL132	Cytoplasm	  ; IRS	kTL132_1*m_IRS1*(EIF4E/(kTL132_2+EIF4E))	5.799864E-03	1.000000E+02				
vTL133	Cytoplasm	  ; IRS	kTL133_1*m_IRS2*(EIF4E/(kTL133_2+EIF4E))	1.138430E-01	1.000000E+02				
vTL134	Cytoplasm	  ; I	kTL134_1*m_IGF1*(EIF4E/(kTL134_2+EIF4E))	7.122388E-02	1.000000E+02				
vTL135	Cytoplasm	  ; I	kTL135_1*m_IGF2*(EIF4E/(kTL135_2+EIF4E))	7.122388E-02	1.000000E+02				
vTL136	Cytoplasm	  ; Ir	kTL136_1*m_IGF1R*(EIF4E/(kTL136_2+EIF4E))	1.450361E-02	1.000000E+02				
vTL137	Cytoplasm	  ; MSH6	kTL137_1*m_MSH6*(EIF4E/(kTL137_2+EIF4E))	7.574784E-02	1.000000E+02				
vTL138	Cytoplasm	  ; BRCA2	kTL138_1*m_BRCA2*(EIF4E/(kTL138_2+EIF4E))	4.751087E-02	1.000000E+02				
vTL139	Cytoplasm	  ; MGMT	kTL139_1*m_MGMT*(EIF4E/(kTL139_2+EIF4E))	2.023389E-01	1.000000E+02				
vTL140	Cytoplasm	  ; Isr	kTL140_1*m_INSR*(EIF4E/(kTL140_2+EIF4E))	1.397178E-02	1.000000E+02				
vTL141	Cytoplasm	  ; INS	kTL141_1*m_INS*(EIF4E/(kTL141_2+EIF4E))	7.122388E-02	1.000000E+02				
vTLCd1	Nucleus	 p53inac ; 	0.000000E+00						
vTLCd2	Nucleus	 MDM2 ; 	0.000000E+00						
vTLCd3	Nucleus	 Wip1 ; 	0.000000E+00						
vTLCd4	Nucleus	 BRCA2 ; 	7.701635E-05						
vTLCd5	Nucleus	 MSH6 ; 	5.543936E-06						
vTLCd6	Nucleus	 MGMT ; 	5.603635E-06						
vTLCd7	Nucleus	 ARF ; 	0.000000E+00						
vTLCd8	Nucleus	 MDM4 ; 	2.601904E-04						
vTLCd9	Nucleus	 ATMinac ; 	6.026319E-06						
vTLCd10	Nucleus	 ATRinac ; 	1.208668E-05						
vTLCd11	Nucleus	 pRB ; 	0.000000E+00						
vTLCd12	Nucleus	 E2F ; 	0.000000E+00						
vTLCd13	Nucleus	 Cd ; 	0.000000E+00						
vTLCd14	Nucleus	 Ce ; 	0.000000E+00						
vTLCd15	Nucleus	 Skp2 ; 	0.000000E+00						
vTLCd16	Nucleus	 Pai ; 	0.000000E+00						
vTLCd17	Nucleus	 Pei ; 	0.000000E+00						
vTLCd18	Nucleus	 Pbi ; 	0.000000E+00						
vTLCd19	Nucleus	 Ca ; 	0.000000E+00						
vTLCd20	Nucleus	 p27 ; 	0.000000E+00						
vTLCd21	Nucleus	 Cdh1a ; 	0.000000E+00						
vTLCd22	Nucleus	 Cb ; 	0.000000E+00						
vTLCd23	Nucleus	 Cdc20i ; 	0.000000E+00						
vTLCd24	Nucleus	 Wee1 ; 	0.000000E+00						
vTLCd25	Nucleus	 Chk1 ; 	0.000000E+00						
vTLCd26	Nucleus	 p21 ; 	0.000000E+00						
vTLCd27	Cytoplasm	 L ; 	0.000000E+00						
vTLCd28	Cytoplasm	 R ; 	2.688368E-06						
vTLCd29	Cytoplasm	 flip ; 	1.925409E-04						
vTLCd30	Cytoplasm	 pC8 ; 	2.339785E-06						
vTLCd31	Cytoplasm	 Bar ; 	2.856690E-05						
vTLCd32	Cytoplasm	 pC3 ; 	2.327990E-06						
vTLCd33	Cytoplasm	 pC6 ; 	5.321161E-07						
vTLCd34	Cytoplasm	 XIAP ; 	2.856690E-05						
vTLCd35	Cytoplasm	 PARP ; 	2.504434E-06						
vTLCd36	Cytoplasm	 Bid ; 	2.832733E-06						
vTLCd37	Cytoplasm	 Bcl2c ; 	1.219627E-04						
vTLCd38	Cytoplasm	 Bax ; 	2.471324E-06						
vTLCd39	Mitochondrion	 CytoCm ; 	1.320401E-06						
vTLCd40	Mitochondrion	 Smacm ; 	2.099911E-06						
vTLCd41	Cytoplasm	 Apaf ; 	6.060462E-06						
vTLCd42	Cytoplasm	 pC9 ; 	2.339785E-06						
vTLCd43	Cytoplasm	 BAD ; 	9.247881E-06						
vTLCd44	Cytoplasm	 PUMA ; 	2.750584E-05						
vTLCd45	Cytoplasm	 NOXA ; 	1.283606E-04						
vTLCd46	Cytoplasm	 BIM ; 	6.418029E-05						
vTLCd47	Cytoplasm	 E ; 	0.000000E+00						
vTLCd48	Cytoplasm	 H ; 	0.000000E+00						
vTLCd49	Cytoplasm	 HGF ; 	0.000000E+00						
vTLCd50	Cytoplasm	 P ; 	0.000000E+00						
vTLCd51	Cytoplasm	 F ; 	0.000000E+00						
vTLCd52	Cytoplasm	 I ; 	0.000000E+00						
vTLCd53	Cytoplasm	 INS ; 	0.000000E+00						
vTLCd54	Cytoplasm	 E1 ; 	1.514877E-05						
vTLCd55	Cytoplasm	 E2 ; 	1.039638E-05						
vTLCd56	Cytoplasm	 E3 ; 	1.233051E-05						
vTLCd57	Cytoplasm	 E4 ; 	0.000000E+00						
vTLCd58	Cytoplasm	 Ev3 ; 	0.000000E+00						
vTLCd59	Cytoplasm	 Met ; 	6.546783E-06						
vTLCd60	Cytoplasm	 Pr ; 	6.418029E-05						
vTLCd61	Cytoplasm	 Fr ; 	6.546783E-06						
vTLCd62	Cytoplasm	 Ir ; 	6.546783E-06						
vTLCd63	Cytoplasm	 Isr ; 	2.873745E-05						
vTLCd64	Cytoplasm	 IRS ; 	5.816945E-05						
vTLCd65	Cytoplasm	 Sp ; 	9.627044E-05						
vTLCd66	Cytoplasm	 Cbl ; 	6.506958E-06						
vTLCd67	Cytoplasm	 G2 ; 	1.118124E-05						
vTLCd68	Cytoplasm	 PLCg ; 	6.217013E-06						
vTLCd69	Cytoplasm	 PI3KC1 ; 	4.809915E-06						
vTLCd70	Cytoplasm	 PI3KR1 ; 	4.388761E-06						
vTLCd71	Cytoplasm	 PI3K2 ; 	8.993035E-06						
vTLCd72	Cytoplasm	 GRP ; 	6.776427E-06						
vTLCd73	Cytoplasm	 RasD ; 	6.863611E-06						
vTLCd74	Cytoplasm	 NF1 ; 	2.489216E-06						
vTLCd75	Cytoplasm	 CRaf ; 	9.622233E-06						
vTLCd76	Cytoplasm	 BRaf ; 	9.622233E-06						
vTLCd77	Cytoplasm	 MEK ; 	2.218213E-06						
vTLCd78	Nucleus	 MKP3 ; 	2.567212E-04						
vTLCd79	Nucleus	 RSK ; 	3.230288E-06						
vTLCd80	Nucleus	 MKP1 ; 	2.567212E-04						
vTLCd81	Nucleus	 cFos ; 	2.567212E-04						
vTLCd82	Cytoplasm	 cJun ; 	8.886366E-05						
vTLCd83	Cytoplasm	 cMyc ; 	3.850818E-04						
vTLCd84	Cytoplasm	 bCATENIN ; 	1.335235E-05						
vTLCd85	Cytoplasm	 PTEN ; 	1.448329E-06						
vTLCd86	Cytoplasm	 AKT ; 	5.754195E-06						
vTLCd87	Cytoplasm	 PDK1 ; 	7.006582E-06						
vTLCd88	Cytoplasm	 Rictor ; 	7.241101E-06						
vTLCd89	Cytoplasm	 mTOR ; 	5.155044E-06						
vTLCd90	Cytoplasm	 GSK3b ; 	5.854086E-06						
vTLCd91	Cytoplasm	 TSC1 ; 	3.681470E-06						
vTLCd92	Cytoplasm	 TSC2 ; 	5.352819E-06						
vTLCd93	Cytoplasm	 PKC ; 	3.179866E-06						
vTLCd94	Cytoplasm	 RKIP ; 	5.927070E-07						
vTLCd95	Cytoplasm	 ERK ; 	3.431828E-06						
vTLCd96	Cytoplasm	 FOXO ; 	4.145121E-06						
vTLCd97	Cytoplasm	 RhebD ; 	8.400562E-06						
vTLCd98	Cytoplasm	 Raptor ; 	2.546837E-05						
vTLCd99	Cytoplasm	 S6K ; 	6.411618E-06						
vTLCd100	Cytoplasm	 EIF4EBP1 ; 	3.027372E-05						
vTLCd101	Cytoplasm	 SOS ; 	4.999763E-06						
vTLCd102	Cytoplasm	 EIF4E ; 	1.665290E-06						
vE1	Cytoplasm	 EIF4E + mT ; EIF4E_mT	1.000000E-03						
vE2	Cytoplasm	 EIF4E_mT ; EIF4E + mT	1.000000E-01						
vE3	Cytoplasm	  ; mT	kE3	2.106579E-04					
vE4	Cytoplasm	 mT ; 	1.665290E-06						
vE5	Cytoplasm	 EIF4E_mT ; 	1.665290E-06						
vD1	Nucleus	  ; p53inac	0.000000E+00						
vD2	Nucleus	 p53inac ; 	kD2*MDM2*p53inac	1.388889E-06					
